Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6393972,This World We Live In,Susan Beth Pfeffer,"Pfeffer, Susan Beth",,0547248040,9780547248042,,3.80,,,256,2010,2010,1/02/2015,1/05/2015,,,read,,,,1,,,,,,,,
18196040,The Walled City,Ryan Graudin,"Graudin, Ryan",,0316405051,9780316405058,,3.87,,,424,2014,2014,1/04/2015,1/05/2015,,,read,,,,1,,,,,,,,
18009950,"Liars, Inc.",Paula Stokes,"Stokes, Paula",,0062323288,9780062323286,,3.58,,,362,2015,2015,12/11/2015,1/05/2015,,,read,,,,1,,,,,,,,
22055262,A Darker Shade of Magic,V.E. Schwab,"Schwab, V.E.",,0765376458,9780765376459,,4.07,,,400,2015,2015,12/04/2015,1/05/2015,,,read,,,,1,,,,,,,,
15839976,Red Rising,Pierce Brown,"Brown, Pierce",,0345539788,9780345539786,,4.25,,,382,2014,2014,12/23/2015,1/12/2015,,,read,,,,1,,,,,,,,
23734628,Carry On,Rainbow Rowell,"Rowell, Rainbow",,1250049555,9781250049551,,4.20,,,522,2015,2015,11/27/2015,1/13/2015,,,read,,,,1,,,,,,,,
17697565,The Memory Key,Liana Liu,"Liu, Liana",,0062306642,9780062306647,,3.24,,,368,2015,2015,,1/13/2015,,,read,,,,1,,,,,,,,
22529162,An Ember in the Ashes,Sabaa Tahir,"Tahir, Sabaa",,,,,4.27,,,464,2015,2015,7/05/2015,1/13/2015,,,read,,,,1,,,,,,,,
7613,Animal Farm,George Orwell,"Orwell, George",,0452284244,9780452284241,,3.97,,,122,2003,1945,1/15/2015,1/15/2015,,,read,,,,1,,,,,,,,
8525590,Wither,Lauren DeStefano,"DeStefano, Lauren",,1442409053,9781442409057,,3.80,,,358,2011,2011,9/14/2015,1/24/2015,,,read,,,,1,,,,,,,,
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,,,,3.77,,,242,2014,2014,1/26/2015,1/27/2015,,,read,,,,1,,,,,,,,
2768169,The Underneath,Kathi Appelt,"Appelt, Kathi",,1416950583,9781416950585,,3.96,,,313,2008,2008,,1/27/2015,,,read,,,,1,,,,,,,,
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,1250012570,9781250012579,,3.99,,,328,2013,2012,1/30/2015,1/30/2015,,,read,,,,1,,,,,,,,
17878931,Red Queen,Victoria Aveyard,"Aveyard, Victoria",,1409151174,9781409151173,,4.04,,,383,2015,2015,,1/30/2015,,,read,,,,1,,,,,,,,
68496,Un Lun Dun,China Miéville,"Miéville, China",,0345495160,9780345495167,,3.82,,,432,2007,2007,,1/31/2015,,,read,,,,1,,,,,,,,
6457229,The Monstrumologist,Rick Yancey,"Yancey, Rick",,1416984488,9781416984481,,3.89,,,434,2009,2009,,2/01/2015,,,read,,,,1,,,,,,,,
10507293,The Selection,Kiera Cass,"Cass, Kiera",,0062059939,9780062059932,,4.11,,,336,2012,2012,2/02/2015,2/01/2015,,,read,,,,1,,,,,,,,
16248068,The Elite,Kiera Cass,"Cass, Kiera",,0062059963,9780062059963,,3.98,,,336,2013,2013,2/07/2015,2/07/2015,,,read,,,,1,,,,,,,,
18635016,The One,Kiera Cass,"Cass, Kiera",,0062059998,9780062059994,,4.18,,,323,2014,2014,2/09/2015,2/09/2015,,,read,,,,1,,,,,,,,
22918050,The Heir,Kiera Cass,"Cass, Kiera",,,,,3.70,,,342,2015,2015,8/21/2015,2/09/2015,,,read,,,,1,,,,,,,,
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,0385534635,9780385534635,,4.03,,,630,2011,2011,6/06/2015,2/09/2015,,,read,,,,3,,,,,,,,
17852690,The Leveller,Julia Durango,"Durango, Julia",,0062314009,9780062314000,,3.67,,,256,2015,2015,9/13/2015,2/09/2015,,,read,,,,1,,,,,,,,
17703205,月刊少女野崎くん 1 [Gekkan Shoujo Nozaki-kun 1],Izumi Tsubaki,"Tsubaki, Izumi",,,,,4.36,,,146,2012,2012,1/27/2015,2/11/2015,,,read,,,,1,,,,,,,,
17703212,月刊少女野崎くん 2 [Gekkan Shoujo Nozaki-kun 2],Izumi Tsubaki,"Tsubaki, Izumi",,4757537778,9784757537774,,4.37,,,146,2012,2012,1/27/2015,2/11/2015,,,read,,,,1,,,,,,,,
22855256,月刊少女野崎くん 5 [Gekkan Shoujo Nozaki-kun 5],Izumi Tsubaki,"Tsubaki, Izumi",,4757543530,9784757543539,,4.42,,,144,2014,2014,1/28/2015,2/11/2015,,,read,,,,1,,,,,,,,
22855253,月刊少女野崎くん 4 [Gekkan Shoujo Nozaki-kun 4],Izumi Tsubaki,"Tsubaki, Izumi",,4757542038,9784757542037,,4.46,,,147,2014,2014,1/28/2015,2/11/2015,,,read,,,,1,,,,,,,,
22855252,月刊少女野崎くん 3 [Gekkan Shoujo Nozaki-kun 3],Izumi Tsubaki,"Tsubaki, Izumi",,4757539851,9784757539853,,4.43,,,144,2013,2013,1/27/2015,2/11/2015,,,read,,,,1,,,,,,,,
6595461,Tender Morsels,Margo Lanagan,"Lanagan, Margo",,0375843051,9780375843051,,3.58,,,464,2010,2007,2/26/2015,2/12/2015,,,read,,,,1,,,,,,,,
21936988,The Sin Eater's Daughter,Melinda Salisbury,"Salisbury, Melinda",,1760151572,9781760151577,,3.48,,,336,2015,2015,4/17/2015,2/13/2015,,,read,,,,1,,,,,,,,
5852045,Adventures in Cartooning: How to Turn Your Doodles Into Comics,James Sturm,"Sturm, James",,1596433698,9781596433694,,4.15,,,112,2009,2009,,2/17/2015,,,read,,,,1,,,,,,,,
18659623,Through the Woods,Emily Carroll,"Carroll, Emily",,1442465956,9781442465954,,3.93,,,208,2014,2014,3/28/2015,2/26/2015,,,read,,,,1,,,,,,,,
20821306,Zodiac,Romina Russell,"Russell, Romina",,1595147403,9781595147400,,3.72,,,325,2014,2014,,2/28/2015,,,read,,,,1,,,,,,,,
13112869,Not a Drop to Drink,Mindy McGinnis,"McGinnis, Mindy",,,,,3.82,,,309,2013,2013,5/09/2015,2/28/2015,,,read,,,,1,,,,,,,,
38898402,Nimona,Noelle Stevenson,"Stevenson, Noelle",,,,,4.15,,,272,2015,2015,5/30/2015,3/08/2015,,,read,,,,1,,,,,,,,
23129410,Welcome to Night Vale,Joseph Fink,"Fink, Joseph",,0062351427,9780062351425,,3.82,,,401,2015,2015,10/26/2015,3/15/2015,,,read,,,,1,,,,,,,,
8041873,"Hold Me Closer, Necromancer",Lish McBride,"McBride, Lish",,0805090983,9780805090987,,3.88,,,343,2010,2010,4/23/2015,3/19/2015,,,read,,,,1,,,,,,,,
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,1451666179,9781451666175,,4.15,,,371,2019,2013,5/25/2015,3/26/2015,,,read,,,,1,,,,,,,,
18178029,ハイ☆スピード！ [High Speed!],Kouji Ouji,"Ouji, Kouji",,4907064063,9784907064068,,4.10,,,231,2013,2013,3/29/2015,3/28/2015,,,read,,,,1,,,,,,,,
6081685,Maid-sama! Vol. 01,Hiro Fujiwara,"Fujiwara, Hiro",,1427814031,9781427814036,,4.43,,,208,2009,2006,3/29/2015,3/29/2015,,,read,,,,1,,,,,,,,
6081686,Maid-sama! Vol. 02,Hiro Fujiwara,"Fujiwara, Hiro",,142781404X,9781427814043,,4.51,,,208,2009,2007,3/29/2015,3/29/2015,,,read,,,,1,,,,,,,,
6609611,Maid-sama! Vol. 03,Hiro Fujiwara,"Fujiwara, Hiro",,1427814058,9781427814050,,4.50,,,208,2009,2007,3/29/2015,3/29/2015,,,read,,,,1,,,,,,,,
6609612,Maid-sama! Vol. 04,Hiro Fujiwara,"Fujiwara, Hiro",,1427814066,9781427814067,,4.51,,,179,2010,2007,3/30/2015,3/30/2015,,,read,,,,1,,,,,,,,
23128990,月刊少女野崎くん 6 [Gekkan Shoujo Nozaki-kun 6],Izumi Tsubaki,"Tsubaki, Izumi",,4757543786,9784757543782,,4.43,,,146,2015,2015,3/31/2015,3/31/2015,,,read,,,,1,,,,,,,,
5266733,The Reformed Vampire Support Group,Catherine Jinks,"Jinks, Catherine",,0152066098,9780152066093,,3.50,,,368,2009,2009,4/06/2015,4/06/2015,,,read,,,,1,,,,,,,,
6706433,Maid-sama! Vol. 06,Hiro Fujiwara,"Fujiwara, Hiro",,,9789792336252,,4.47,,,,2009,2008,4/18/2015,4/18/2015,,,read,,,,1,,,,,,,,
6660793,Maid-sama! Vol. 05,Hiro Fujiwara,"Fujiwara, Hiro",,,9789792335989,,4.53,,,,2009,2008,3/15/2015,4/18/2015,,,read,,,,1,,,,,,,,
7577078,Maid-sama! Vol. 07,Hiro Fujiwara,"Fujiwara, Hiro",,,9789792338584,,4.55,,,,2010,2009,4/18/2015,4/18/2015,,,read,,,,1,,,,,,,,
54479,Around the World in Eighty Days,Jules Verne,"Verne, Jules",,014044906X,9780140449068,,3.94,,,252,2004,1872,4/18/2015,4/18/2015,,,read,,,,1,,,,,,,,
13409145,Necromancing the Stone,Lish McBride,"McBride, Lish",,0805090991,9780805090994,,4.10,,,344,2012,2012,4/26/2015,4/24/2015,,,read,,,,1,,,,,,,,
10151346,Necromancer,Lish McBride,"McBride, Lish",,,,,3.71,,,69,2011,2011,4/24/2015,4/24/2015,,,read,,,,1,,,,,,,,
91358,The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,"Enzensberger, Hans Magnus",,0805062998,9780805062991,,3.92,,,264,2000,1997,5/09/2015,5/09/2015,,,read,,,,1,,,,,,,,
21469108,The Ghosts of Heaven,Marcus Sedgwick,"Sedgwick, Marcus",,1626721254,9781626721258,,3.71,,,360,2015,2015,5/12/2015,5/12/2015,,,read,,,,1,,,,,,,,
10194157,Shadow and Bone,Leigh Bardugo,"Bardugo, Leigh",,,,,3.96,,,358,2012,2012,,5/12/2015,,,read,,,,1,,,,,,,,
18453088,I Am the Weapon,Allen Zadoff,"Zadoff, Allen",,0316199672,9780316199674,,3.94,,,368,2014,2013,5/23/2015,5/23/2015,,,read,,,,1,,,,,,,,
22428828,Welcome to Shadowhunter Academy,Cassandra Clare,"Clare, Cassandra",,,,,4.10,,,78,2015,2015,,5/28/2015,,,read,,,,1,,,,,,,,
8475505,Rebel Belle,Rachel Hawkins,"Hawkins, Rachel",,0399256938,9780399256936,,3.81,,,345,2014,2014,5/31/2015,5/30/2015,,,read,,,,1,,,,,,,,
22465605,Miss Mayhem,Rachel Hawkins,"Hawkins, Rachel",,0399256946,9780399256943,,3.47,,,273,2015,2015,6/02/2015,5/31/2015,,,read,,,,1,,,,,,,,
13330943,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,0307744434,9780307744432,,4.03,,,516,2012,2011,3/25/2015,6/06/2015,,,read,,,,1,,,,,,,,
1617,Night,Elie Wiesel,"Wiesel, Elie",,,,,4.35,,,115,2006,1956,6/18/2015,6/18/2015,,,read,,,,1,,,,,,,,
763167,Danny the Champion of the World,Roald Dahl,"Dahl, Roald",,0141301147,9780141301143,,4.09,,,205,1998,1975,6/18/2015,6/18/2015,,,read,,,,1,,,,,,,,
9160695,Battle Hymn of the Tiger Mother,Amy Chua,"Chua, Amy",,1594202842,9781594202841,,3.64,,,237,2011,2011,6/26/2015,6/26/2015,,,read,,,,1,,,,,,,,
7021457,"Beltway Bloopers: Hilarious Quotes and Anecdotes from Washington, D.C",Don Reid,"Reid, Don",,1435106199,9781435106192,,3.86,,,128,2008,2008,6/26/2015,6/26/2015,,,read,,,,1,,,,,,,,
8428716,The Missing Golden Ticket and Other Splendiferous Secrets,Roald Dahl,"Dahl, Roald",,0142417424,9780142417423,,3.81,,,128,2010,2010,6/26/2015,6/26/2015,,,read,,,,1,,,,,,,,
20560137,An Ember in the Ashes,Sabaa Tahir,"Tahir, Sabaa",,1595148035,9781595148032,,4.27,,,446,2015,2015,6/30/2015,6/30/2015,,,read,,,,1,,,,,,,,
7766027,I Hunt Killers,Barry Lyga,"Lyga, Barry",,0316125849,9780316125840,,4.02,,,359,2012,2012,,7/03/2015,,,read,,,,1,,,,,,,,
295741,Evil Genius,Catherine Jinks,"Jinks, Catherine",,0152059881,9780152059880,,3.81,,,552,2007,2005,7/05/2015,7/05/2015,,,read,,,,1,,,,,,,,
5287473,Hex Hall,Rachel Hawkins,"Hawkins, Rachel",,1423121309,9781423121305,,3.92,,,323,2010,2010,7/06/2015,7/06/2015,,,read,,,,1,,,,,,,,
8428064,Demonglass,Rachel Hawkins,"Hawkins, Rachel",,1423121317,9781423121312,,4.08,,,359,2011,2011,7/07/2015,7/07/2015,,,read,,,,1,,,,,,,,
9565548,Grave Mercy,Robin LaFevers,"LaFevers, Robin",,054762834X,9780547628349,,3.89,,,549,2012,2012,7/09/2015,7/09/2015,,,read,,,,1,,,,,,,,
9165406,Okay for Now,Gary D. Schmidt,"Schmidt, Gary D.",,0547152604,9780547152608,,4.22,,,360,2011,2011,,7/10/2015,,,read,,,,1,,,,,,,,
23245584,The Hanged Man,P.N. Elrod,"Elrod, P.N.",,0765329719,9780765329714,,3.80,,,336,2015,2015,7/14/2015,7/14/2015,,,read,,,,1,,,,,,,,
9111463,How They Croaked,Georgia Bragg,"Bragg, Georgia",,0802798179,9780802798176,,4.08,,,184,2011,2011,7/14/2015,7/14/2015,,,read,,,,1,,,,,,,,
8661987,A Corner of White,Jaclyn Moriarty,"Moriarty, Jaclyn",,1742611397,9781742611396,,3.80,,,400,2012,2012,7/17/2015,7/17/2015,,,read,,,,1,,,,,,,,
18371573,The Cracks in the Kingdom,Jaclyn Moriarty,"Moriarty, Jaclyn",,0545397383,9780545397384,,4.18,,,468,2014,2014,7/24/2015,7/24/2015,,,read,,,,1,,,,,,,,
25578558,A Tangle of Gold,Jaclyn Moriarty,"Moriarty, Jaclyn",,0545397405,9780545397407,,4.31,,,480,2016,2016,,7/24/2015,,,read,,,,1,,,,,,,,
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,0385495323,9780385495325,,4.27,,,412,2000,1999,8/10/2015,8/10/2015,,,read,,,,2,,,,,,,,
8695,The Restaurant at the End of the Universe,Douglas Adams,"Adams, Douglas",,,,,4.21,,,250,2005,1980,8/12/2015,8/12/2015,,,read,,,,1,,,,,,,,
3288275,Enchantment Place,Denise Little,"Little, Denise",,0756405106,9780756405106,,3.65,,,352,2008,2008,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
17185496,The Sacred Lies of Minnow Bly,Stephanie Oakes,"Oakes, Stephanie",,,,,3.96,,,400,2015,2015,11/28/2015,9/05/2015,,,read,,,,1,,,,,,,,
23281811,Pretending to Be Erica,Michelle Painchaud,"Painchaud, Michelle",,0670014974,9780670014972,,3.72,,,272,2015,2015,10/03/2015,9/05/2015,,,read,,,,1,,,,,,,,
16126395,Orange 1,Ichigo Takano,"Takano, Ichigo",,408846804X,9784088468044,,4.30,,,192,2012,2012,8/26/2015,9/05/2015,,,read,,,,1,,,,,,,,
16177217,Orange 2,Ichigo Takano,"Takano, Ichigo",,4088468619,9784088468617,,4.44,,,176,2012,2012,8/27/2015,9/05/2015,,,read,,,,1,,,,,,,,
22728301,Orange 3,Ichigo Takano,"Takano, Ichigo",,4575844705,9784575844702,,4.42,,,189,2014,2014,8/28/2015,9/05/2015,,,read,,,,1,,,,,,,,
24848311,Orange 4,Ichigo Takano,"Takano, Ichigo",,4575845752,9784575845754,,4.43,,,190,2015,2015,8/29/2015,9/05/2015,,,read,,,,1,,,,,,,,
18673814,一週間フレンズ。1 [Isshuukan Friends. 1],Matcha Hazuki,"Hazuki, Matcha",,475753633X,9784757536333,,3.78,,,156,2012,2012,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
20618433,一週間フレンズ。2 [Isshuukan Friends. 2],Matcha Hazuki,"Hazuki, Matcha",,4757537964,9784757537965,,3.86,,,142,2012,2012,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
20618443,一週間フレンズ。3 [Isshuukan Friends. 3],Matcha Hazuki,"Hazuki, Matcha",,4757539533,9784757539532,,3.93,,,137,2013,2013,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
20618501,一週間フレンズ。4 [Isshuukan Friends. 4],Matcha Hazuki,"Hazuki, Matcha",,4757541376,9784757541375,,3.87,,,142,2013,2013,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
25331341,一週間フレンズ。5 [Isshuukan Friends. 5],Matcha Hazuki,"Hazuki, Matcha",,4757542569,9784757542563,,3.92,,,143,2014,2014,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
25331513,一週間フレンズ。6 [Isshuukan Friends. 6],Matcha Hazuki,"Hazuki, Matcha",,4757543611,9784757543614,,3.75,,,142,2014,2014,9/05/2015,9/05/2015,,,read,,,,1,,,,,,,,
23272028,A Study in Charlotte,Brittany Cavallaro,"Cavallaro, Brittany",,0062398903,9780062398901,,3.77,,,321,2016,2016,,9/11/2015,,,read,,,,1,,,,,,,,
12993848,"Alice in the Country of Hearts, Vol. 1",QuinRose,QuinRose,,0316212695,9780316212694,,4.26,,,367,2012,2009,9/12/2015,9/12/2015,,,read,,,,1,,,,,,,,
12993862,"Alice in the Country of Hearts, Vol. 2",QuinRose,QuinRose,,0316212725,9780316212724,,4.37,,,366,2012,2009,9/13/2015,9/12/2015,,,read,,,,1,,,,,,,,
12993867,"Alice in the Country of Hearts, Vol. 3",QuinRose,QuinRose,,0316212687,9780316212687,,4.26,,,348,2012,2010,9/13/2015,9/13/2015,,,read,,,,1,,,,,,,,
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,,,,4.27,,,336,2006,1960,10/30/2015,11/01/2015,,,read,,,,1,,,,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,1476746583,9781476746586,,4.32,,,531,2014,2014,11/21/2015,11/21/2015,,,read,,,,2,,,,,,,,
27232732,干物妹！うまるちゃん 1 [Himouto! Umaru-chan #1],Sankaku Head,"Head, Sankaku",,408879706X,9784088797069,,4.16,,,184,2013,2013,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
27232852,干物妹！うまるちゃん 2 [Himouto! Umaru-chan #2],Sankaku Head,"Head, Sankaku",,4088797221,9784088797229,,4.21,,,176,2013,2013,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
27232873,干物妹！うまるちゃん 3 [Himouto! Umaru-chan #3],Sankaku Head,"Head, Sankaku",,4088798619,9784088798615,,4.29,,,176,2014,2014,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
27232989,干物妹！うまるちゃん 4 [Himouto! Umaru-chan #4],Sankaku Head,"Head, Sankaku",,4088900839,9784088900834,,4.38,,,184,2014,2014,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
26036079,干物妹！うまるちゃん 5,Sankaku Head,"Head, Sankaku",,,,,4.33,,,172,2015,nown,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
25878667,干物妹！うまるちゃん 6,Sankaku Head,"Head, Sankaku",,,,,4.26,,,176,2015,nown,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
27798159,干物妹！うまるちゃん 7,Sankaku Head,"Head, Sankaku",,,,,4.26,,,176,2015,nown,11/26/2015,11/26/2015,,,read,,,,1,,,,,,,,
26074181,The Crown,Kiera Cass,"Cass, Kiera",,0062392174,9780062392176,,3.67,,,278,2016,2016,,12/12/2015,,,read,,,,1,,,,,,,,
18806240,Bone Gap,Laura Ruby,"Ruby, Laura",,,,,3.82,,,373,2015,2015,,12/13/2015,,,read,,,,1,,,,,,,,
15715106,The Audition,Rachel Hartman,"Hartman, Rachel",,,,,4.05,,,17,2012,2012,12/25/2015,12/25/2015,,,read,,,,1,,,,,,,,
16085457,Shadow Scale,Rachel Hartman,"Hartman, Rachel",,0375866574,9780375866579,,3.74,,,602,2015,2015,12/28/2015,12/28/2015,,,read,,,,1,,,,,,,,
